Date,Price,Open,High,Low,Change %
25-May-12,1.0293,1.0261,1.0312,1.0243,0.27%
24-May-12,1.0265,1.0246,1.0296,1.0222,0.17%
23-May-12,1.0248,1.0209,1.0296,1.0204,0.36%
22-May-12,1.0211,1.0171,1.0233,1.0149,0.36%
21-May-12,1.0174,1.0212,1.0246,1.0162,-0.46%
18-May-12,1.0221,1.0194,1.0227,1.0135,0.25%
17-May-12,1.0196,1.0124,1.0197,1.0101,0.71%
16-May-12,1.0124,1.0068,1.0132,1.0051,0.56%
15-May-12,1.0068,1.0031,1.0073,0.9986,0.35%
14-May-12,1.0033,1.0015,1.0052,0.9989,0.25%
11-May-12,1.0008,1.0026,1.0054,0.9949,-0.15%
10-May-12,1.0023,1.0023,1.0031,0.9974,-0.02%
9-May-12,1.0025,0.9989,1.0062,0.9981,0.37%
8-May-12,0.9988,0.9926,1.0022,0.992,0.58%
7-May-12,0.993,0.9947,0.9986,0.9922,-0.25%
4-May-12,0.9955,0.9883,0.9963,0.9858,0.69%
3-May-12,0.9887,0.9866,0.9893,0.9825,0.21%
2-May-12,0.9866,0.9857,0.9902,0.9846,0.07%
1-May-12,0.9859,0.9869,0.9897,0.9828,-0.12%
30-Apr-12,0.9871,0.9805,0.9894,0.9799,0.67%
27-Apr-12,0.9805,0.9854,0.9869,0.9796,-0.49%
26-Apr-12,0.9853,0.9834,0.9854,0.9802,0.22%
25-Apr-12,0.9831,0.9871,0.9879,0.982,-0.42%
24-Apr-12,0.9872,0.9907,0.9928,0.9866,-0.38%
23-Apr-12,0.991,0.9924,0.9978,0.9901,-0.07%
20-Apr-12,0.9917,0.9951,0.9958,0.9893,-0.40%
19-Apr-12,0.9957,0.9909,0.9964,0.9877,0.45%
18-Apr-12,0.9912,0.9902,0.9923,0.9878,0.05%
17-Apr-12,0.9907,0.9998,1.0011,0.9861,-0.92%
16-Apr-12,0.9999,0.9989,1.0032,0.997,0.03%
13-Apr-12,0.9996,0.9947,0.9996,0.9922,0.50%
12-Apr-12,0.9946,1.0037,1.0037,0.9936,-0.93%
11-Apr-12,1.0039,1.004,1.0051,1.0006,-0.05%
10-Apr-12,1.0044,0.9969,1.0045,0.9947,0.69%
9-Apr-12,0.9975,0.9971,1.0001,0.9941,0.02%
6-Apr-12,0.9973,0.9929,0.9985,0.9914,0.40%
5-Apr-12,0.9933,0.9958,0.9998,0.9904,-0.30%
4-Apr-12,0.9963,0.9908,0.9973,0.9904,0.56%
3-Apr-12,0.9908,0.9903,0.9928,0.9885,0.00%
2-Apr-12,0.9908,0.9953,0.9989,0.9884,-0.71%
30-Mar-12,0.9979,0.9964,0.9998,0.995,0.10%
29-Mar-12,0.9969,0.9981,1.0019,0.996,-0.13%
28-Mar-12,0.9982,0.9954,1,0.9942,0.29%
27-Mar-12,0.9953,0.9911,0.9956,0.9896,0.46%
26-Mar-12,0.9907,0.998,0.9999,0.9901,-0.74%
23-Mar-12,0.9981,0.9989,1.0033,0.9968,-0.10%
22-Mar-12,0.9991,0.9922,1.0008,0.9909,0.71%
21-Mar-12,0.9921,0.9914,0.9935,0.9871,0.03%
20-Mar-12,0.9918,0.987,0.9968,0.9865,0.50%
19-Mar-12,0.9869,0.9911,0.993,0.9856,-0.50%
16-Mar-12,0.9919,0.9916,0.994,0.9896,-0.01%
15-Mar-12,0.992,0.9932,0.9948,0.9901,-0.08%
14-Mar-12,0.9928,0.9887,0.9944,0.9878,0.46%
13-Mar-12,0.9883,0.9926,0.9928,0.9877,-0.40%
12-Mar-12,0.9923,0.9902,0.9947,0.9895,0.17%
9-Mar-12,0.9906,0.9906,0.9936,0.9873,0.00%
8-Mar-12,0.9906,0.9984,0.999,0.9894,-0.78%
7-Mar-12,0.9984,1.0013,1.0025,0.9974,-0.29%
6-Mar-12,1.0013,0.994,1.0029,0.9938,0.73%
5-Mar-12,0.994,0.9896,0.996,0.989,0.49%
2-Mar-12,0.9892,0.9853,0.9897,0.9849,0.41%
1-Mar-12,0.9852,0.9886,0.99,0.9843,-0.34%
29-Feb-12,0.9886,0.994,0.9943,0.9845,-0.54%
28-Feb-12,0.994,0.9982,0.9986,0.994,-0.42%
27-Feb-12,0.9982,0.9998,1.0049,0.9977,-0.13%
24-Feb-12,0.9995,0.9974,1.0004,0.9966,0.21%
23-Feb-12,0.9974,0.9994,1.001,0.9954,-0.20%
22-Feb-12,0.9994,0.9966,1.002,0.9955,0.28%
21-Feb-12,0.9966,0.9948,0.9976,0.9924,0.18%
20-Feb-12,0.9948,0.9918,0.9958,0.9907,-0.24%
17-Feb-12,0.9972,0.997,0.9984,0.9942,0.02%
16-Feb-12,0.997,1.0005,1.0051,0.9954,-0.35%
15-Feb-12,1.0005,0.9988,1.0007,0.9939,0.17%
14-Feb-12,0.9988,1.0012,1.0027,0.9979,-0.23%
13-Feb-12,1.0011,1.0003,1.0012,0.9972,-0.02%
10-Feb-12,1.0013,0.9954,1.0039,0.9952,0.59%
9-Feb-12,0.9954,0.9966,0.998,0.9926,-0.12%
8-Feb-12,0.9966,0.9952,0.999,0.9936,0.14%
7-Feb-12,0.9952,0.9964,0.9995,0.9941,-0.12%
6-Feb-12,0.9964,0.9936,0.9994,0.9928,0.29%
3-Feb-12,0.9935,0.9996,1.0033,0.9928,-0.61%
2-Feb-12,0.9996,0.9976,1.001,0.9968,0.20%
1-Feb-12,0.9976,1.0033,1.0049,0.9964,-0.57%
31-Jan-12,1.0033,1.0023,1.0054,0.9966,0.09%
30-Jan-12,1.0024,1.0013,1.007,1.0012,0.07%
27-Jan-12,1.0017,1.0029,1.0042,0.9988,-0.11%
26-Jan-12,1.0028,1.0047,1.0048,0.9982,-0.18%
25-Jan-12,1.0046,1.0092,1.0148,1.0029,-0.47%
24-Jan-12,1.0093,1.0072,1.0142,1.0072,0.17%
23-Jan-12,1.0076,1.0152,1.0157,1.0053,-0.55%
20-Jan-12,1.0132,1.0119,1.0161,1.0116,0.13%
19-Jan-12,1.0119,1.0116,1.0129,1.0071,0.03%
18-Jan-12,1.0116,1.015,1.0178,1.011,-0.33%
17-Jan-12,1.015,1.0177,1.0177,1.0113,-0.27%
16-Jan-12,1.0177,1.0245,1.0252,1.0166,-0.54%
13-Jan-12,1.0232,1.0183,1.0284,1.0164,0.48%
12-Jan-12,1.0183,1.0183,1.0211,1.014,0.00%
11-Jan-12,1.0183,1.0173,1.021,1.014,0.10%
10-Jan-12,1.0173,1.0226,1.0229,1.0152,-0.52%
9-Jan-12,1.0226,1.0291,1.0319,1.0226,-0.56%
6-Jan-12,1.0284,1.0198,1.0286,1.0171,0.84%
5-Jan-12,1.0198,1.0136,1.0225,1.0121,0.61%
4-Jan-12,1.0136,1.0114,1.0162,1.0109,0.22%
3-Jan-12,1.0114,1.0174,1.0176,1.0077,-0.59%
2-Jan-12,1.0174,1.0213,1.0216,1.0172,-0.43%
30-Dec-11,1.0218,1.0207,1.022,1.0158,0.11%
29-Dec-11,1.0207,1.0258,1.0269,1.0198,-0.50%
28-Dec-11,1.0258,1.0195,1.0258,1.0127,0.62%
27-Dec-11,1.0195,1.0201,1.0216,1.0178,-0.06%
26-Dec-11,1.0201,1.0208,1.0214,1.0178,-0.06%
23-Dec-11,1.0207,1.0212,1.0215,1.0182,-0.05%
22-Dec-11,1.0212,1.0275,1.0281,1.0201,-0.61%
21-Dec-11,1.0275,1.0287,1.0306,1.021,-0.12%
20-Dec-11,1.0287,1.0378,1.0381,1.0264,-0.88%
19-Dec-11,1.0378,1.0387,1.0415,1.0335,-0.04%
16-Dec-11,1.0382,1.0335,1.0407,1.0298,0.45%
15-Dec-11,1.0335,1.0391,1.0405,1.0321,-0.54%
14-Dec-11,1.0391,1.0345,1.0424,1.0328,0.44%
13-Dec-11,1.0345,1.0278,1.035,1.0232,0.65%
12-Dec-11,1.0278,1.0186,1.0286,1.0186,1.07%
9-Dec-11,1.0169,1.0227,1.0263,1.0169,-0.57%
