Date,Price,Open,High,Low,Change %
5-Jan-11,1.3156,1.3319,1.3325,1.3126,-1.22%
4-Jan-11,1.3318,1.3356,1.3433,1.3292,-0.28%
3-Jan-11,1.3355,1.3356,1.3395,1.325,-0.21%
31-Dec-10,1.3383,1.3301,1.3422,1.3288,0.62%
30-Dec-10,1.3301,1.3222,1.3314,1.3219,0.60%
29-Dec-10,1.3222,1.3085,1.3238,1.3084,1.05%
28-Dec-10,1.3085,1.3188,1.3274,1.3083,-0.78%
27-Dec-10,1.3188,1.3079,1.3189,1.3078,0.51%
24-Dec-10,1.3121,1.3122,1.3147,1.3095,-0.01%
23-Dec-10,1.3122,1.3114,1.3151,1.3055,0.06%
22-Dec-10,1.3114,1.3091,1.318,1.3078,0.18%
21-Dec-10,1.3091,1.3117,1.3201,1.3073,-0.20%
20-Dec-10,1.3117,1.3162,1.3182,1.3095,-0.53%
17-Dec-10,1.3187,1.3239,1.3358,1.3133,-0.39%
16-Dec-10,1.3238,1.3224,1.3265,1.3181,0.11%
15-Dec-10,1.3224,1.3356,1.3377,1.3208,-0.99%
14-Dec-10,1.3356,1.3394,1.3497,1.3355,-0.28%
13-Dec-10,1.3394,1.3197,1.3433,1.3182,1.27%
10-Dec-10,1.3226,1.324,1.3282,1.3179,-0.11%
9-Dec-10,1.324,1.3248,1.3322,1.3164,-0.06%
8-Dec-10,1.3248,1.3245,1.328,1.318,0.02%
7-Dec-10,1.3245,1.3288,1.34,1.3236,-0.33%
6-Dec-10,1.3289,1.3413,1.342,1.3246,-0.93%
3-Dec-10,1.3414,1.3211,1.3437,1.3193,1.54%
2-Dec-10,1.3211,1.3124,1.3246,1.306,0.66%
1-Dec-10,1.3124,1.2994,1.3181,1.2971,1.00%
30-Nov-10,1.2994,1.3099,1.3149,1.2969,-0.80%
29-Nov-10,1.3099,1.3237,1.3301,1.3064,-1.06%
26-Nov-10,1.324,1.3339,1.335,1.32,-0.74%
25-Nov-10,1.3339,1.3357,1.3386,1.3286,-0.13%
24-Nov-10,1.3357,1.3385,1.342,1.3284,-0.21%
23-Nov-10,1.3385,1.36,1.3614,1.336,-1.58%
22-Nov-10,1.36,1.3741,1.3785,1.3577,-0.53%
19-Nov-10,1.3672,1.3656,1.3731,1.3608,0.12%
18-Nov-10,1.3656,1.3553,1.3667,1.3542,0.75%
17-Nov-10,1.3554,1.3493,1.3565,1.346,0.45%
16-Nov-10,1.3493,1.3573,1.3655,1.3447,-0.58%
15-Nov-10,1.3572,1.3688,1.375,1.3563,-0.86%
12-Nov-10,1.369,1.3621,1.3776,1.3574,0.51%
11-Nov-10,1.3621,1.3774,1.382,1.3608,-1.11%
10-Nov-10,1.3774,1.377,1.3825,1.3671,0.02%
9-Nov-10,1.3771,1.3867,1.3973,1.3748,-0.69%
8-Nov-10,1.3867,1.4074,1.4085,1.3859,-1.17%
5-Nov-10,1.4031,1.4228,1.423,1.4024,-1.38%
4-Nov-10,1.4228,1.4126,1.4281,1.4102,0.71%
3-Nov-10,1.4127,1.4032,1.418,1.3992,0.67%
2-Nov-10,1.4033,1.3908,1.4057,1.3881,0.90%
1-Nov-10,1.3908,1.3973,1.4011,1.3864,-0.27%
29-Oct-10,1.3946,1.3928,1.395,1.3807,0.13%
28-Oct-10,1.3928,1.3777,1.3945,1.3774,1.09%
27-Oct-10,1.3778,1.3845,1.3876,1.3734,-0.48%
26-Oct-10,1.3845,1.3922,1.3981,1.3825,-0.55%
25-Oct-10,1.3922,1.3961,1.408,1.3907,-0.22%
22-Oct-10,1.3953,1.3912,1.397,1.386,0.29%
21-Oct-10,1.3912,1.3976,1.4049,1.3871,-0.45%
